17:47:40.165: Position 1: YW36
17:47:56.482: Message received: team6,robot,1,plate
17:47:56.483: Awarded: 0 pts
17:47:56.548: Message received: team6,robot,1,plate
17:47:56.549: Awarded: 0 pts
17:47:56.618: Message received: team6,robot,1,plate
17:47:56.618: Awarded: 0 pts
17:47:56.688: Message received: team6,robot,1,plate
17:47:56.688: Awarded: 0 pts
17:47:56.748: Message received: team6,robot,1,plate
17:47:56.748: Awarded: 0 pts
17:47:56.819: Message received: team6,robot,1,plate
17:47:56.820: Awarded: 0 pts
17:47:56.887: Message received: team6,robot,1,plate
17:47:56.888: Awarded: 0 pts
17:47:56.954: Message received: team6,robot,1,plate
17:47:56.955: Awarded: 0 pts
17:47:57.022: Message received: team6,robot,1,plate
17:47:57.023: Awarded: 0 pts
17:47:57.091: Message received: team6,robot,1,plate
17:47:57.091: Awarded: 0 pts
17:47:57.157: Message received: team6,robot,1,plate
17:47:57.158: Awarded: 0 pts
17:47:57.226: Message received: team6,robot,1,plate
17:47:57.226: Awarded: 0 pts
17:47:57.294: Message received: team6,robot,1,plate
17:47:57.295: Awarded: 0 pts
17:47:57.360: Message received: team6,robot,1,plate
17:47:57.361: Awarded: 0 pts
17:47:57.430: Message received: team6,robot,1,plate
17:47:57.431: Awarded: 0 pts
17:47:57.499: Message received: team6,robot,1,plate
17:47:57.499: Awarded: 0 pts
17:47:57.565: Message received: team6,robot,1,plate
17:47:57.565: Awarded: 0 pts
17:47:57.635: Message received: team6,robot,1,plate
17:47:57.636: Awarded: 0 pts
17:47:57.703: Message received: team6,robot,1,plate
17:47:57.703: Awarded: 0 pts
17:47:57.766: Message received: team6,robot,1,plate
17:47:57.767: Awarded: 0 pts
17:47:57.836: Message received: team6,robot,1,plate
17:47:57.837: Awarded: 0 pts
17:47:57.903: Message received: team6,robot,1,plate
17:47:57.903: Awarded: 0 pts
17:47:57.968: Message received: team6,robot,1,plate
17:47:57.969: Awarded: 0 pts
17:47:58.040: Message received: team6,robot,1,plate
17:47:58.040: Awarded: 0 pts
17:47:58.108: Message received: team6,robot,1,plate
17:47:58.109: Awarded: 0 pts
17:47:58.170: Message received: team6,robot,1,plate
17:47:58.171: Awarded: 0 pts
17:47:58.242: Message received: team6,robot,1,plate
17:47:58.242: Awarded: 0 pts
17:47:58.305: Message received: team6,robot,1,plate
17:47:58.305: Awarded: 0 pts
17:47:58.373: Message received: team6,robot,1,plate
17:47:58.373: Awarded: 0 pts
17:47:58.442: Message received: team6,robot,1,plate
17:47:58.443: Awarded: 0 pts
17:47:58.508: Message received: team6,robot,1,plate
17:47:58.508: Awarded: 0 pts
17:47:58.574: Message received: team6,robot,1,plate
17:47:58.575: Awarded: 0 pts
17:47:58.644: Message received: team6,robot,1,plate
17:47:58.645: Awarded: 0 pts
17:47:58.732: Message received: team6,robot,1,plate
17:47:58.734: Awarded: 0 pts
17:47:58.791: Message received: team6,robot,1,plate
17:47:58.791: Awarded: 0 pts
17:47:58.858: Message received: team6,robot,1,plate
17:47:58.859: Awarded: 0 pts
17:47:58.931: Message received: team6,robot,1,plate
17:47:58.932: Awarded: 0 pts
17:47:58.991: Message received: team6,robot,1,plate
17:47:58.991: Awarded: 0 pts
17:47:59.057: Message received: team6,robot,1,plate
17:47:59.058: Awarded: 0 pts
17:47:59.128: Message received: team6,robot,1,plate
17:47:59.128: Awarded: 0 pts
17:47:59.195: Message received: team6,robot,1,plate
17:47:59.196: Awarded: 0 pts
17:47:59.262: Message received: team6,robot,1,plate
17:47:59.263: Awarded: 0 pts
17:47:59.331: Message received: team6,robot,1,plate
17:47:59.332: Awarded: 0 pts
17:47:59.399: Message received: team6,robot,1,plate
17:47:59.400: Awarded: 0 pts
17:47:59.466: Message received: team6,robot,1,plate
17:47:59.467: Awarded: 0 pts
17:47:59.533: Message received: team6,robot,1,plate
17:47:59.534: Awarded: 0 pts
17:47:59.609: Message received: team6,robot,1,plate
17:47:59.609: Awarded: 0 pts
17:47:59.669: Message received: team6,robot,1,plate
17:47:59.669: Awarded: 0 pts
17:47:59.737: Message received: team6,robot,1,plate
17:47:59.738: Awarded: 0 pts
17:47:59.803: Message received: team6,robot,1,plate
17:47:59.803: Awarded: 0 pts
17:47:59.872: Message received: team6,robot,1,plate
17:47:59.873: Awarded: 0 pts
17:47:59.939: Message received: team6,robot,1,plate
17:47:59.939: Awarded: 0 pts
17:48:00.008: Message received: team6,robot,1,plate
17:48:00.009: Awarded: 0 pts
17:48:00.076: Message received: team6,robot,1,plate
17:48:00.076: Awarded: 0 pts
17:48:00.143: Message received: team6,robot,1,plate
17:48:00.144: Awarded: 0 pts
17:48:00.207: Message received: team6,robot,1,plate
17:48:00.207: Awarded: 0 pts
17:48:00.278: Message received: team6,robot,1,plate
17:48:00.279: Awarded: 0 pts
17:48:00.344: Message received: team6,robot,1,plate
17:48:00.345: Awarded: 0 pts
17:48:00.416: Message received: team6,robot,1,plate
17:48:00.416: Awarded: 0 pts
17:48:00.479: Message received: team6,robot,1,plate
17:48:00.479: Awarded: 0 pts
17:48:00.545: Message received: team6,robot,1,plate
17:48:00.546: Awarded: 0 pts
17:48:00.614: Message received: team6,robot,1,plate
17:48:00.615: Awarded: 0 pts
17:48:00.686: Message received: team6,robot,1,plate
17:48:00.686: Awarded: 0 pts
17:48:00.748: Message received: team6,robot,1,plate
17:48:00.748: Awarded: 0 pts
17:48:00.815: Message received: team6,robot,1,plate
17:48:00.815: Awarded: 0 pts
17:48:00.885: Message received: team6,robot,1,plate
17:48:00.886: Awarded: 0 pts
17:48:00.953: Message received: team6,robot,1,plate
17:48:00.954: Awarded: 0 pts
17:48:01.021: Message received: team6,robot,1,plate
17:48:01.022: Awarded: 0 pts
17:48:01.088: Message received: team6,robot,1,plate
17:48:01.088: Awarded: 0 pts
17:48:01.160: Message received: team6,robot,1,plate
17:48:01.160: Awarded: 0 pts
17:48:01.228: Message received: team6,robot,1,plate
17:48:01.229: Awarded: 0 pts
17:48:01.293: Message received: team6,robot,1,plate
17:48:01.293: Awarded: 0 pts
17:48:01.361: Message received: team6,robot,1,plate
17:48:01.362: Awarded: 0 pts
17:48:01.424: Message received: team6,robot,1,plate
17:48:01.425: Awarded: 0 pts
17:48:01.499: Message received: team6,robot,1,plate
17:48:01.500: Awarded: 0 pts
17:48:01.561: Message received: team6,robot,1,plate
17:48:01.562: Awarded: 0 pts
17:48:01.628: Message received: team6,robot,1,plate
17:48:01.628: Awarded: 0 pts
17:48:01.703: Message received: team6,robot,1,plate
17:48:01.703: Awarded: 0 pts
17:48:01.769: Message received: team6,robot,1,plate
17:48:01.769: Awarded: 0 pts
17:48:01.836: Message received: team6,robot,1,plate
17:48:01.836: Awarded: 0 pts
17:48:01.903: Message received: team6,robot,1,plate
17:48:01.904: Awarded: 0 pts
17:48:01.963: Message received: team6,robot,1,plate
17:48:01.964: Awarded: 0 pts
17:48:02.032: Message received: team6,robot,1,plate
17:48:02.032: Awarded: 0 pts
17:48:02.101: Message received: team6,robot,1,plate
17:48:02.102: Awarded: 0 pts
17:48:02.169: Message received: team6,robot,1,plate
17:48:02.169: Awarded: 0 pts
17:48:02.237: Message received: team6,robot,1,plate
17:48:02.238: Awarded: 0 pts
17:48:02.303: Message received: team6,robot,1,plate
17:48:02.304: Awarded: 0 pts
17:48:02.366: Message received: team6,robot,1,plate
17:48:02.366: Awarded: 0 pts
17:48:02.438: Message received: team6,robot,1,plate
17:48:02.438: Awarded: 0 pts
17:48:02.507: Message received: team6,robot,1,plate
17:48:02.507: Awarded: 0 pts
17:48:02.571: Message received: team6,robot,1,plate
17:48:02.571: Awarded: 0 pts
17:48:02.639: Message received: team6,robot,1,plate
17:48:02.640: Awarded: 0 pts
17:48:02.704: Message received: team6,robot,1,plate
17:48:02.705: Awarded: 0 pts
17:48:02.771: Message received: team6,robot,1,plate
17:48:02.772: Awarded: 0 pts
17:48:02.842: Message received: team6,robot,1,plate
17:48:02.843: Awarded: 0 pts
17:48:02.966: Message received: team6,robot,1,plate
17:48:02.967: Awarded: 0 pts
17:48:03.072: Message received: team6,robot,1,plate
17:48:03.073: Awarded: 0 pts
17:48:03.179: Message received: team6,robot,1,plate
17:48:03.180: Awarded: 0 pts
17:48:03.285: Message received: team6,robot,1,plate
17:48:03.286: Awarded: 0 pts
17:48:03.390: Message received: team6,robot,1,plate
17:48:03.390: Awarded: 0 pts
17:48:03.497: Message received: team6,robot,1,plate
17:48:03.498: Awarded: 0 pts
17:48:03.602: Message received: team6,robot,1,plate
17:48:03.604: Awarded: 0 pts
17:48:03.710: Message received: team6,robot,1,plate
17:48:03.711: Awarded: 0 pts
17:48:03.817: Message received: team6,robot,1,plate
17:48:03.818: Awarded: 0 pts
17:48:03.923: Message received: team6,robot,1,plate
17:48:03.924: Awarded: 0 pts
17:48:04.028: Message received: team6,robot,1,plate
17:48:04.029: Awarded: 0 pts
17:48:04.133: Message received: team6,robot,1,plate
17:48:04.134: Awarded: 0 pts
17:48:04.240: Message received: team6,robot,1,plate
17:48:04.240: Awarded: 0 pts
17:48:04.345: Message received: team6,robot,1,plate
17:48:04.348: Awarded: 0 pts
17:48:04.452: Message received: team6,robot,1,plate
17:48:04.453: Awarded: 0 pts
17:48:04.560: Message received: team6,robot,1,plate
17:48:04.561: Awarded: 0 pts
17:48:04.666: Message received: team6,robot,1,plate
17:48:04.666: Awarded: 0 pts
17:48:04.770: Message received: team6,robot,1,plate
17:48:04.771: Awarded: 0 pts
17:48:04.879: Message received: team6,robot,1,plate
17:48:04.879: Awarded: 0 pts
17:48:04.985: Message received: team6,robot,1,plate
17:48:04.985: Awarded: 0 pts
17:48:05.092: Message received: team6,robot,1,plate
17:48:05.093: Awarded: 0 pts
17:48:05.201: Message received: team6,robot,1,plate
17:48:05.202: Awarded: 0 pts
17:48:05.307: Message received: team6,robot,1,plate
17:48:05.307: Awarded: 0 pts
17:48:05.412: Message received: team6,robot,1,plate
17:48:05.413: Awarded: 0 pts
17:48:05.518: Message received: team6,robot,1,plate
17:48:05.519: Awarded: 0 pts
17:48:05.625: Message received: team6,robot,1,plate
17:48:05.625: Awarded: 0 pts
17:48:05.732: Message received: team6,robot,1,plate
17:48:05.733: Awarded: 0 pts
17:48:05.840: Message received: team6,robot,1,plate
17:48:05.841: Awarded: 0 pts
17:48:05.948: Message received: team6,robot,1,plate
17:48:05.948: Awarded: 0 pts
17:48:06.054: Message received: team6,robot,1,plate
17:48:06.055: Awarded: 0 pts
17:48:06.160: Message received: team6,robot,1,plate
17:48:06.160: Awarded: 0 pts
17:48:06.265: Message received: team6,robot,1,plate
17:48:06.267: Awarded: 0 pts
17:48:06.371: Message received: team6,robot,1,plate
17:48:06.372: Awarded: 0 pts
17:48:06.479: Message received: team6,robot,1,plate
17:48:06.479: Awarded: 0 pts
17:48:06.584: Message received: team6,robot,1,plate
17:48:06.585: Awarded: 0 pts
17:48:06.691: Message received: team6,robot,1,plate
17:48:06.691: Awarded: 0 pts
17:48:06.793: Message received: team6,robot,1,plate
17:48:06.794: Awarded: 0 pts
17:48:06.898: Message received: team6,robot,1,plate
17:48:06.898: Awarded: 0 pts
17:48:07.308: Message received: team6,robot,1,plate
17:48:07.308: Awarded: 0 pts
17:48:07.364: Message received: team6,robot,1,plate
17:48:07.365: Awarded: 0 pts
17:48:07.418: Message received: team6,robot,1,plate
17:48:07.419: Awarded: 0 pts
17:48:07.469: Message received: team6,robot,1,plate
17:48:07.470: Awarded: 0 pts
17:48:07.520: Message received: team6,robot,1,plate
17:48:07.521: Awarded: 0 pts
17:48:07.579: Message received: team6,robot,1,plate
17:48:07.579: Awarded: 0 pts
17:48:07.629: Message received: team6,robot,1,plate
17:48:07.630: Awarded: 0 pts
17:48:07.680: Message received: team6,robot,1,plate
17:48:07.681: Awarded: 0 pts
17:48:07.727: Message received: team6,robot,1,plate
17:48:07.728: Awarded: 0 pts
17:48:07.784: Message received: team6,robot,1,plate
17:48:07.784: Awarded: 0 pts
17:48:07.834: Message received: team6,robot,1,plate
17:48:07.835: Awarded: 0 pts
17:48:07.882: Message received: team6,robot,1,plate
17:48:07.883: Awarded: 0 pts
17:48:07.931: Message received: team6,robot,1,plate
17:48:07.931: Awarded: 0 pts
17:48:07.988: Message received: team6,robot,1,plate
17:48:07.989: Awarded: 0 pts
17:48:08.043: Message received: team6,robot,1,plate
17:48:08.044: Awarded: 0 pts
17:48:08.094: Message received: team6,robot,1,plate
17:48:08.095: Awarded: 0 pts
17:48:08.142: Message received: team6,robot,1,plate
17:48:08.144: Awarded: 0 pts
17:48:08.198: Message received: team6,robot,1,plate
17:48:08.199: Awarded: 0 pts
17:48:08.249: Message received: team6,robot,1,plate
17:48:08.250: Awarded: 0 pts
17:48:08.298: Message received: team6,robot,1,plate
17:48:08.298: Awarded: 0 pts
17:48:08.350: Message received: team6,robot,1,plate
17:48:08.351: Awarded: 0 pts
17:48:08.401: Message received: team6,robot,1,plate
17:48:08.401: Awarded: 0 pts
17:48:08.448: Message received: team6,robot,1,plate
17:48:08.449: Awarded: 0 pts
17:48:08.505: Message received: team6,robot,1,plate
17:48:08.506: Awarded: 0 pts
17:48:08.558: Message received: team6,robot,1,plate
17:48:08.559: Awarded: 0 pts
17:48:08.608: Message received: team6,robot,1,plate
17:48:08.609: Awarded: 0 pts
17:48:08.672: Message received: team6,robot,1,plate
17:48:08.673: Awarded: 0 pts
17:48:08.744: Message received: team6,robot,1,plate
17:48:08.745: Awarded: 0 pts
17:48:08.811: Message received: team6,robot,1,plate
17:48:08.812: Awarded: 0 pts
17:48:08.879: Message received: team6,robot,1,plate
17:48:08.879: Awarded: 0 pts
17:48:08.944: Message received: team6,robot,1,plate
17:48:08.945: Awarded: 0 pts
17:48:09.021: Message received: team6,robot,1,plate
17:48:09.021: Awarded: 0 pts
17:48:09.080: Message received: team6,robot,1,plate
17:48:09.081: Awarded: 0 pts
17:48:09.148: Message received: team6,robot,1,plate
17:48:09.149: Awarded: 0 pts
17:48:09.214: Message received: team6,robot,1,plate
17:48:09.214: Awarded: 0 pts
17:48:09.284: Message received: team6,robot,1,plate
17:48:09.284: Awarded: 0 pts
17:48:09.353: Message received: team6,robot,1,plate
17:48:09.354: Awarded: 0 pts
17:48:09.420: Message received: team6,robot,1,plate
17:48:09.421: Awarded: 0 pts
17:48:09.484: Message received: team6,robot,1,plate
17:48:09.485: Awarded: 0 pts
17:48:09.552: Message received: team6,robot,1,plate
17:48:09.553: Awarded: 0 pts
17:48:09.620: Message received: team6,robot,1,plate
17:48:09.620: Awarded: 0 pts
17:48:09.690: Message received: team6,robot,1,plate
17:48:09.690: Awarded: 0 pts
17:48:09.757: Message received: team6,robot,1,plate
17:48:09.758: Awarded: 0 pts
17:48:09.822: Message received: team6,robot,1,plate
17:48:09.823: Awarded: 0 pts
17:48:09.896: Message received: team6,robot,1,plate
17:48:09.897: Awarded: 0 pts
17:48:09.963: Message received: team6,robot,1,plate
17:48:09.964: Awarded: 0 pts
17:48:10.035: Message received: team6,robot,1,plate
17:48:10.035: Awarded: 0 pts
17:48:10.098: Message received: team6,robot,1,plate
17:48:10.098: Awarded: 0 pts
17:48:10.168: Message received: team6,robot,1,plate
17:48:10.168: Awarded: 0 pts
17:48:10.236: Message received: team6,robot,1,plate
17:48:10.236: Awarded: 0 pts
17:48:10.310: Message received: team6,robot,1,plate
17:48:10.312: Awarded: 0 pts
17:48:10.378: Message received: team6,robot,1,plate
17:48:10.379: Awarded: 0 pts
17:48:10.443: Message received: team6,robot,1,plate
17:48:10.444: Awarded: 0 pts
17:48:10.510: Message received: team6,robot,1,plate
17:48:10.511: Awarded: 0 pts
17:48:10.574: Message received: team6,robot,1,plate
17:48:10.575: Awarded: 0 pts
17:48:10.641: Message received: team6,robot,1,plate
17:48:10.641: Awarded: 0 pts
17:48:10.711: Message received: team6,robot,1,plate
17:48:10.712: Awarded: 0 pts
17:48:10.781: Message received: team6,robot,1,plate
17:48:10.781: Awarded: 0 pts
17:48:10.848: Message received: team6,robot,1,plate
17:48:10.849: Awarded: 0 pts
17:48:10.913: Message received: team6,robot,1,plate
17:48:10.913: Awarded: 0 pts
17:48:10.982: Message received: team6,robot,1,plate
17:48:10.983: Awarded: 0 pts
17:48:11.070: Message received: team6,robot,1,plate
17:48:11.071: Awarded: 0 pts
17:48:11.123: Message received: team6,robot,1,plate
17:48:11.123: Awarded: 0 pts
17:48:11.190: Message received: team6,robot,1,plate
17:48:11.191: Awarded: 0 pts
17:48:11.258: Message received: team6,robot,1,plate
17:48:11.258: Awarded: 0 pts
17:48:11.324: Message received: team6,robot,1,plate
17:48:11.325: Awarded: 0 pts
17:48:11.400: Message received: team6,robot,1,plate
17:48:11.401: Awarded: 0 pts
17:48:11.462: Message received: team6,robot,1,plate
17:48:11.463: Awarded: 0 pts
17:48:11.530: Message received: team6,robot,1,plate
17:48:11.530: Awarded: 0 pts
17:48:11.598: Message received: team6,robot,1,plate
17:48:11.599: Awarded: 0 pts
17:48:11.663: Message received: team6,robot,1,plate
17:48:11.664: Awarded: 0 pts
17:48:11.733: Message received: team6,robot,1,plate
17:48:11.734: Awarded: 0 pts
17:48:11.803: Message received: team6,robot,1,plate
17:48:11.803: Awarded: 0 pts
17:48:11.868: Message received: team6,robot,1,plate
17:48:11.869: Awarded: 0 pts
17:48:11.933: Message received: team6,robot,1,plate
17:48:11.933: Awarded: 0 pts
17:48:12.011: Message received: team6,robot,1,plate
17:48:12.011: Awarded: 0 pts
17:48:12.076: Message received: team6,robot,1,plate
17:48:12.077: Awarded: 0 pts
17:48:12.139: Message received: team6,robot,1,plate
17:48:12.140: Awarded: 0 pts
17:48:12.206: Message received: team6,robot,1,plate
17:48:12.207: Awarded: 0 pts
17:48:12.272: Message received: team6,robot,1,plate
17:48:12.272: Awarded: 0 pts
17:48:12.340: Message received: team6,robot,1,plate
17:48:12.341: Awarded: 0 pts
17:48:12.410: Message received: team6,robot,1,plate
17:48:12.410: Awarded: 0 pts
17:48:12.482: Message received: team6,robot,1,plate
17:48:12.482: Awarded: 0 pts
17:48:12.554: Message received: team6,robot,1,plate
17:48:12.555: Awarded: 0 pts
17:48:12.613: Message received: team6,robot,1,plate
17:48:12.614: Awarded: 0 pts
17:48:12.679: Message received: team6,robot,1,plate
17:48:12.680: Awarded: 0 pts
17:48:12.748: Message received: team6,robot,1,plate
17:48:12.748: Awarded: 0 pts
17:48:12.815: Message received: team6,robot,1,plate
17:48:12.816: Awarded: 0 pts
17:48:12.882: Message received: team6,robot,1,plate
17:48:12.883: Awarded: 0 pts
17:48:12.951: Message received: team6,robot,1,plate
17:48:12.952: Awarded: 0 pts
17:48:13.018: Message received: team6,robot,1,plate
17:48:13.018: Awarded: 0 pts
17:48:13.086: Message received: team6,robot,1,plate
17:48:13.087: Awarded: 0 pts
17:48:13.151: Message received: team6,robot,1,plate
17:48:13.152: Awarded: 0 pts
17:48:13.220: Message received: team6,robot,1,plate
17:48:13.221: Awarded: 0 pts
17:48:13.290: Message received: team6,robot,1,plate
17:48:13.291: Awarded: 0 pts
17:48:13.359: Message received: team6,robot,1,plate
17:48:13.359: Awarded: 0 pts
17:48:13.426: Message received: team6,robot,1,plate
17:48:13.427: Awarded: 0 pts
17:48:13.494: Message received: team6,robot,1,plate
17:48:13.495: Awarded: 0 pts
17:48:13.561: Message received: team6,robot,1,plate
17:48:13.562: Awarded: 0 pts
17:48:13.629: Message received: team6,robot,1,plate
17:48:13.629: Awarded: 0 pts
17:48:13.696: Message received: team6,robot,1,plate
17:48:13.697: Awarded: 0 pts
17:48:13.761: Message received: team6,robot,1,plate
17:48:13.762: Awarded: 0 pts
17:48:13.829: Message received: team6,robot,1,plate
17:48:13.830: Awarded: 0 pts
17:48:13.898: Message received: team6,robot,1,plate
17:48:13.899: Awarded: 0 pts
17:48:13.963: Message received: team6,robot,1,plate
17:48:13.964: Awarded: 0 pts
17:48:14.030: Message received: team6,robot,1,plate
17:48:14.031: Awarded: 0 pts
17:48:14.103: Message received: team6,robot,1,plate
17:48:14.104: Awarded: 0 pts
17:48:14.169: Message received: team6,robot,1,plate
17:48:14.170: Awarded: 0 pts
17:48:14.235: Message received: team6,robot,1,plate
17:48:14.236: Awarded: 0 pts
17:48:14.303: Message received: team6,robot,1,plate
17:48:14.303: Awarded: 0 pts
17:48:14.369: Message received: team6,robot,1,plate
17:48:14.370: Awarded: 0 pts
17:48:14.440: Message received: team6,robot,1,plate
17:48:14.440: Awarded: 0 pts
17:48:14.507: Message received: team6,robot,1,plate
17:48:14.507: Awarded: 0 pts
17:48:14.570: Message received: team6,robot,1,plate
17:48:14.571: Awarded: 0 pts
17:48:14.639: Message received: team6,robot,1,plate
17:48:14.640: Awarded: 0 pts
17:48:14.710: Message received: team6,robot,1,plate
17:48:14.711: Awarded: 0 pts
17:48:14.774: Message received: team6,robot,1,plate
17:48:14.774: Awarded: 0 pts
17:48:14.842: Message received: team6,robot,1,plate
17:48:14.843: Awarded: 0 pts
17:48:14.909: Message received: team6,robot,1,plate
17:48:14.910: Awarded: 0 pts
17:48:14.976: Message received: team6,robot,1,plate
17:48:14.977: Awarded: 0 pts
17:48:15.048: Message received: team6,robot,1,plate
17:48:15.049: Awarded: 0 pts
