18:06:21.787: Position 1: MR71
18:06:35.390: Awarded: 0 pts
18:06:35.455: Message received: team6,robot,1,plate
18:06:35.455: Awarded: 0 pts
18:06:35.523: Message received: team6,robot,1,plate
18:06:35.524: Awarded: 0 pts
18:06:35.591: Message received: team6,robot,1,plate
18:06:35.592: Awarded: 0 pts
18:06:35.660: Message received: team6,robot,1,plate
18:06:35.660: Awarded: 0 pts
18:06:35.727: Message received: team6,robot,1,plate
18:06:35.728: Awarded: 0 pts
18:06:35.795: Message received: team6,robot,1,plate
18:06:35.796: Awarded: 0 pts
18:06:35.865: Message received: team6,robot,1,plate
18:06:35.865: Awarded: 0 pts
18:06:35.928: Message received: team6,robot,1,plate
18:06:35.929: Awarded: 0 pts
18:06:35.997: Message received: team6,robot,1,plate
18:06:35.997: Awarded: 0 pts
18:06:36.062: Message received: team6,robot,1,plate
18:06:36.062: Awarded: 0 pts
18:06:36.131: Message received: team6,robot,1,plate
18:06:36.132: Awarded: 0 pts
18:06:36.198: Message received: team6,robot,1,plate
18:06:36.199: Awarded: 0 pts
18:06:36.268: Message received: team6,robot,1,plate
18:06:36.268: Awarded: 0 pts
18:06:36.334: Message received: team6,robot,1,plate
18:06:36.335: Awarded: 0 pts
18:06:36.401: Message received: team6,robot,1,plate
18:06:36.402: Awarded: 0 pts
18:06:36.472: Message received: team6,robot,1,plate
18:06:36.472: Awarded: 0 pts
18:06:36.539: Message received: team6,robot,1,plate
18:06:36.539: Awarded: 0 pts
18:06:36.603: Message received: team6,robot,1,plate
18:06:36.604: Awarded: 0 pts
18:06:36.672: Message received: team6,robot,1,plate
18:06:36.672: Awarded: 0 pts
18:06:36.746: Message received: team6,robot,1,plate
18:06:36.746: Awarded: 0 pts
18:06:36.811: Message received: team6,robot,1,plate
18:06:36.811: Awarded: 0 pts
18:06:36.876: Message received: team6,robot,1,plate
18:06:36.876: Awarded: 0 pts
18:06:36.941: Message received: team6,robot,1,plate
18:06:36.942: Awarded: 0 pts
18:06:37.016: Message received: team6,robot,1,plate
18:06:37.017: Awarded: 0 pts
18:06:37.080: Message received: team6,robot,1,plate
18:06:37.080: Awarded: 0 pts
18:06:37.147: Message received: team6,robot,1,plate
18:06:37.147: Awarded: 0 pts
18:06:37.211: Message received: team6,robot,1,plate
18:06:37.212: Awarded: 0 pts
18:06:37.277: Message received: team6,robot,1,plate
18:06:37.277: Awarded: 0 pts
18:06:37.348: Message received: team6,robot,1,plate
18:06:37.349: Awarded: 0 pts
18:06:37.415: Message received: team6,robot,1,plate
18:06:37.416: Awarded: 0 pts
18:06:37.483: Message received: team6,robot,1,plate
18:06:37.484: Awarded: 0 pts
18:06:37.547: Message received: team6,robot,1,plate
18:06:37.548: Awarded: 0 pts
18:06:37.615: Message received: team6,robot,1,plate
18:06:37.616: Awarded: 0 pts
18:06:37.684: Message received: team6,robot,1,plate
18:06:37.685: Awarded: 0 pts
18:06:37.751: Message received: team6,robot,1,plate
18:06:37.752: Awarded: 0 pts
18:06:37.819: Message received: team6,robot,1,plate
18:06:37.819: Awarded: 0 pts
18:06:37.885: Message received: team6,robot,1,plate
18:06:37.886: Awarded: 0 pts
18:06:37.951: Message received: team6,robot,1,plate
18:06:37.951: Awarded: 0 pts
18:06:38.018: Message received: team6,robot,1,plate
18:06:38.019: Awarded: 0 pts
18:06:38.088: Message received: team6,robot,1,plate
18:06:38.089: Awarded: 0 pts
18:06:38.154: Message received: team6,robot,1,plate
18:06:38.154: Awarded: 0 pts
18:06:38.221: Message received: team6,robot,1,plate
18:06:38.222: Awarded: 0 pts
18:06:38.290: Message received: team6,robot,1,plate
18:06:38.291: Awarded: 0 pts
18:06:38.362: Message received: team6,robot,1,plate
18:06:38.362: Awarded: 0 pts
18:06:38.431: Message received: team6,robot,1,plate
18:06:38.432: Awarded: 0 pts
18:06:38.493: Message received: team6,robot,1,plate
18:06:38.494: Awarded: 0 pts
18:06:38.564: Message received: team6,robot,1,plate
18:06:38.564: Awarded: 0 pts
18:06:38.629: Message received: team6,robot,1,plate
18:06:38.630: Awarded: 0 pts
18:06:38.695: Message received: team6,robot,1,plate
18:06:38.696: Awarded: 0 pts
18:06:38.764: Message received: team6,robot,1,plate
18:06:38.764: Awarded: 0 pts
18:06:38.828: Message received: team6,robot,1,plate
18:06:38.829: Awarded: 0 pts
18:06:38.896: Message received: team6,robot,1,plate
18:06:38.897: Awarded: 0 pts
18:06:38.966: Message received: team6,robot,1,plate
18:06:38.967: Awarded: 0 pts
18:06:39.034: Message received: team6,robot,1,plate
18:06:39.035: Awarded: 0 pts
18:06:39.101: Message received: team6,robot,1,plate
18:06:39.102: Awarded: 0 pts
18:06:39.167: Message received: team6,robot,1,plate
18:06:39.168: Awarded: 0 pts
18:06:39.234: Message received: team6,robot,1,plate
18:06:39.235: Awarded: 0 pts
18:06:39.301: Message received: team6,robot,1,plate
18:06:39.302: Awarded: 0 pts
18:06:39.371: Message received: team6,robot,1,plate
18:06:39.371: Awarded: 0 pts
18:06:39.435: Message received: team6,robot,1,plate
18:06:39.436: Awarded: 0 pts
18:06:39.509: Message received: team6,robot,1,plate
18:06:39.510: Awarded: 0 pts
18:06:39.574: Message received: team6,robot,1,plate
18:06:39.574: Awarded: 0 pts
18:06:39.642: Message received: team6,robot,1,plate
18:06:39.642: Awarded: 0 pts
18:06:39.708: Message received: team6,robot,1,plate
18:06:39.708: Awarded: 0 pts
18:06:39.773: Message received: team6,robot,1,plate
18:06:39.774: Awarded: 0 pts
18:06:39.843: Message received: team6,robot,1,plate
18:06:39.844: Awarded: 0 pts
18:06:39.914: Message received: team6,robot,1,plate
18:06:39.915: Awarded: 0 pts
18:06:39.980: Message received: team6,robot,1,plate
18:06:39.980: Awarded: 0 pts
18:06:40.045: Message received: team6,robot,1,plate
18:06:40.045: Awarded: 0 pts
18:06:40.115: Message received: team6,robot,1,plate
18:06:40.115: Awarded: 0 pts
18:06:40.182: Message received: team6,robot,1,plate
18:06:40.183: Awarded: 0 pts
18:06:40.250: Message received: team6,robot,1,plate
18:06:40.250: Awarded: 0 pts
18:06:40.315: Message received: team6,robot,1,plate
18:06:40.315: Awarded: 0 pts
18:06:40.382: Message received: team6,robot,1,plate
18:06:40.382: Awarded: 0 pts
18:06:40.458: Message received: team6,robot,1,plate
18:06:40.458: Awarded: 0 pts
18:06:40.523: Message received: team6,robot,1,plate
18:06:40.523: Awarded: 0 pts
18:06:40.598: Message received: team6,robot,1,plate
18:06:40.598: Awarded: 0 pts
18:06:40.665: Message received: team6,robot,1,plate
18:06:40.666: Awarded: 0 pts
18:06:40.727: Message received: team6,robot,1,plate
18:06:40.728: Awarded: 0 pts
18:06:40.796: Message received: team6,robot,1,plate
18:06:40.796: Awarded: 0 pts
18:06:40.863: Message received: team6,robot,1,plate
18:06:40.864: Awarded: 0 pts
18:06:40.929: Message received: team6,robot,1,plate
18:06:40.930: Awarded: 0 pts
18:06:41.003: Message received: team6,robot,1,plate
18:06:41.004: Awarded: 0 pts
18:06:41.066: Message received: team6,robot,1,plate
18:06:41.067: Awarded: 0 pts
18:06:41.134: Message received: team6,robot,1,plate
18:06:41.135: Awarded: 0 pts
18:06:41.198: Message received: team6,robot,1,plate
18:06:41.199: Awarded: 0 pts
18:06:41.267: Message received: team6,robot,1,plate
18:06:41.268: Awarded: 0 pts
18:06:41.337: Message received: team6,robot,1,plate
18:06:41.338: Awarded: 0 pts
18:06:41.403: Message received: team6,robot,1,plate
18:06:41.404: Awarded: 0 pts
18:06:41.482: Message received: team6,robot,1,plate
18:06:41.482: Awarded: 0 pts
18:06:41.548: Message received: team6,robot,1,plate
18:06:41.548: Awarded: 0 pts
18:06:41.558: Message received: team6,robot,-1,XXXX
