17:56:33.964: Position 1: EG46
17:56:50.953: Message received: team6,robot,1,plate
17:56:50.954: Awarded: 0 pts
17:56:51.019: Message received: team6,robot,1,plate
17:56:51.020: Awarded: 0 pts
17:56:51.089: Message received: team6,robot,1,plate
17:56:51.089: Awarded: 0 pts
17:56:51.150: Message received: team6,robot,1,plate
17:56:51.150: Awarded: 0 pts
17:56:51.217: Message received: team6,robot,1,plate
17:56:51.218: Awarded: 0 pts
17:56:51.285: Message received: team6,robot,1,plate
17:56:51.286: Awarded: 0 pts
17:56:51.360: Message received: team6,robot,1,plate
17:56:51.361: Awarded: 0 pts
17:56:51.421: Message received: team6,robot,1,plate
17:56:51.421: Awarded: 0 pts
17:56:51.487: Message received: team6,robot,1,plate
17:56:51.488: Awarded: 0 pts
17:56:51.551: Message received: team6,robot,1,plate
17:56:51.552: Awarded: 0 pts
17:56:51.621: Message received: team6,robot,1,plate
17:56:51.621: Awarded: 0 pts
17:56:51.691: Message received: team6,robot,1,plate
17:56:51.691: Awarded: 0 pts
17:56:51.756: Message received: team6,robot,1,plate
17:56:51.756: Awarded: 0 pts
17:56:51.823: Message received: team6,robot,1,plate
17:56:51.824: Awarded: 0 pts
17:56:51.890: Message received: team6,robot,1,plate
17:56:51.890: Awarded: 0 pts
17:56:51.957: Message received: team6,robot,1,plate
17:56:51.958: Awarded: 0 pts
17:56:52.027: Message received: team6,robot,1,plate
17:56:52.028: Awarded: 0 pts
17:56:52.094: Message received: team6,robot,1,plate
17:56:52.095: Awarded: 0 pts
17:56:52.161: Message received: team6,robot,1,plate
17:56:52.161: Awarded: 0 pts
17:56:52.228: Message received: team6,robot,1,plate
17:56:52.229: Awarded: 0 pts
17:56:52.296: Message received: team6,robot,1,plate
17:56:52.297: Awarded: 0 pts
17:56:52.364: Message received: team6,robot,1,plate
17:56:52.364: Awarded: 0 pts
17:56:52.433: Message received: team6,robot,1,plate
17:56:52.433: Awarded: 0 pts
17:56:52.501: Message received: team6,robot,1,plate
17:56:52.502: Awarded: 0 pts
17:56:52.567: Message received: team6,robot,1,plate
17:56:52.568: Awarded: 0 pts
17:56:52.635: Message received: team6,robot,1,plate
17:56:52.636: Awarded: 0 pts
17:56:52.702: Message received: team6,robot,1,plate
17:56:52.702: Awarded: 0 pts
17:56:52.780: Message received: team6,robot,1,plate
17:56:52.781: Awarded: 0 pts
17:56:52.841: Message received: team6,robot,1,plate
17:56:52.841: Awarded: 0 pts
17:56:52.906: Message received: team6,robot,1,plate
17:56:52.906: Awarded: 0 pts
17:56:52.974: Message received: team6,robot,1,plate
17:56:52.975: Awarded: 0 pts
17:56:53.044: Message received: team6,robot,1,plate
17:56:53.045: Awarded: 0 pts
17:56:53.110: Message received: team6,robot,1,plate
17:56:53.110: Awarded: 0 pts
17:56:53.176: Message received: team6,robot,1,plate
17:56:53.177: Awarded: 0 pts
17:56:53.246: Message received: team6,robot,1,plate
17:56:53.246: Awarded: 0 pts
17:56:53.315: Message received: team6,robot,1,plate
17:56:53.316: Awarded: 0 pts
17:56:53.382: Message received: team6,robot,1,plate
17:56:53.383: Awarded: 0 pts
17:56:53.454: Message received: team6,robot,1,plate
17:56:53.454: Awarded: 0 pts
17:56:53.517: Message received: team6,robot,1,plate
17:56:53.517: Awarded: 0 pts
17:56:53.583: Message received: team6,robot,1,plate
17:56:53.584: Awarded: 0 pts
17:56:53.653: Message received: team6,robot,1,plate
17:56:53.653: Awarded: 0 pts
17:56:53.722: Message received: team6,robot,1,plate
17:56:53.723: Awarded: 0 pts
17:56:53.786: Message received: team6,robot,1,plate
17:56:53.787: Awarded: 0 pts
17:56:53.855: Message received: team6,robot,1,plate
17:56:53.858: Awarded: 0 pts
17:56:53.922: Message received: team6,robot,1,plate
17:56:53.922: Awarded: 0 pts
17:56:53.990: Message received: team6,robot,1,plate
17:56:53.990: Awarded: 0 pts
17:56:54.060: Message received: team6,robot,1,plate
17:56:54.060: Awarded: 0 pts
17:56:54.124: Message received: team6,robot,1,plate
17:56:54.125: Awarded: 0 pts
17:56:54.191: Message received: team6,robot,1,plate
17:56:54.191: Awarded: 0 pts
17:56:54.261: Message received: team6,robot,1,plate
17:56:54.262: Awarded: 0 pts
17:56:54.325: Message received: team6,robot,1,plate
17:56:54.326: Awarded: 0 pts
17:56:54.395: Message received: team6,robot,1,plate
17:56:54.396: Awarded: 0 pts
17:56:54.462: Message received: team6,robot,1,plate
17:56:54.463: Awarded: 0 pts
17:56:54.532: Message received: team6,robot,1,plate
17:56:54.532: Awarded: 0 pts
17:56:54.597: Message received: team6,robot,1,plate
17:56:54.597: Awarded: 0 pts
17:56:54.668: Message received: team6,robot,1,plate
17:56:54.669: Awarded: 0 pts
17:56:54.733: Message received: team6,robot,1,plate
17:56:54.734: Awarded: 0 pts
17:56:54.802: Message received: team6,robot,1,plate
17:56:54.803: Awarded: 0 pts
17:56:54.870: Message received: team6,robot,1,plate
17:56:54.870: Awarded: 0 pts
17:56:54.935: Message received: team6,robot,1,plate
17:56:54.936: Awarded: 0 pts
17:56:55.005: Message received: team6,robot,1,plate
17:56:55.005: Awarded: 0 pts
17:56:55.070: Message received: team6,robot,1,plate
17:56:55.071: Awarded: 0 pts
17:56:55.139: Message received: team6,robot,1,plate
17:56:55.140: Awarded: 0 pts
17:56:55.207: Message received: team6,robot,1,plate
17:56:55.207: Awarded: 0 pts
17:56:55.272: Message received: team6,robot,1,plate
17:56:55.273: Awarded: 0 pts
17:56:55.340: Message received: team6,robot,1,plate
17:56:55.340: Awarded: 0 pts
17:56:55.407: Message received: team6,robot,1,plate
17:56:55.408: Awarded: 0 pts
17:56:55.476: Message received: team6,robot,1,plate
17:56:55.476: Awarded: 0 pts
17:56:55.540: Message received: team6,robot,1,plate
17:56:55.540: Awarded: 0 pts
17:56:55.610: Message received: team6,robot,1,plate
17:56:55.611: Awarded: 0 pts
17:56:55.676: Message received: team6,robot,1,plate
17:56:55.677: Awarded: 0 pts
17:56:55.746: Message received: team6,robot,1,plate
17:56:55.746: Awarded: 0 pts
17:56:55.822: Message received: team6,robot,1,plate
17:56:55.822: Awarded: 0 pts
17:56:55.888: Message received: team6,robot,1,plate
17:56:55.889: Awarded: 0 pts
17:56:55.966: Message received: team6,robot,1,plate
17:56:55.967: Awarded: 0 pts
17:56:56.025: Message received: team6,robot,1,plate
17:56:56.025: Awarded: 0 pts
17:56:56.087: Message received: team6,robot,1,plate
17:56:56.088: Awarded: 0 pts
17:56:56.155: Message received: team6,robot,1,plate
17:56:56.155: Awarded: 0 pts
17:56:56.222: Message received: team6,robot,1,plate
17:56:56.222: Awarded: 0 pts
17:56:56.289: Message received: team6,robot,1,plate
17:56:56.290: Awarded: 0 pts
17:56:56.352: Message received: team6,robot,1,plate
17:56:56.352: Awarded: 0 pts
17:56:56.421: Message received: team6,robot,1,plate
17:56:56.422: Awarded: 0 pts
17:56:56.490: Message received: team6,robot,1,plate
17:56:56.491: Awarded: 0 pts
17:56:56.557: Message received: team6,robot,1,plate
17:56:56.557: Awarded: 0 pts
17:56:56.623: Message received: team6,robot,1,plate
17:56:56.623: Awarded: 0 pts
17:56:56.693: Message received: team6,robot,1,plate
17:56:56.694: Awarded: 0 pts
17:56:56.757: Message received: team6,robot,1,plate
17:56:56.758: Awarded: 0 pts
17:56:56.828: Message received: team6,robot,1,plate
17:56:56.829: Awarded: 0 pts
17:56:56.893: Message received: team6,robot,1,plate
17:56:56.894: Awarded: 0 pts
17:56:56.959: Message received: team6,robot,1,plate
17:56:56.960: Awarded: 0 pts
17:56:57.036: Message received: team6,robot,1,plate
17:56:57.036: Awarded: 0 pts
17:56:57.105: Message received: team6,robot,1,plate
17:56:57.106: Awarded: 0 pts
17:56:57.165: Message received: team6,robot,1,plate
17:56:57.165: Awarded: 0 pts
17:56:57.232: Message received: team6,robot,1,plate
17:56:57.232: Awarded: 0 pts
17:56:57.302: Message received: team6,robot,1,plate
17:56:57.303: Awarded: 0 pts
17:56:57.367: Message received: team6,robot,1,plate
17:56:57.368: Awarded: 0 pts
17:56:57.436: Message received: team6,robot,1,plate
17:56:57.437: Awarded: 0 pts
17:56:57.504: Message received: team6,robot,1,plate
17:56:57.504: Awarded: 0 pts
17:56:57.568: Message received: team6,robot,1,plate
17:56:57.568: Awarded: 0 pts
17:56:57.644: Message received: team6,robot,1,plate
17:56:57.644: Awarded: 0 pts
17:56:57.708: Message received: team6,robot,1,plate
17:56:57.709: Awarded: 0 pts
17:56:57.773: Message received: team6,robot,1,plate
17:56:57.774: Awarded: 0 pts
17:56:57.840: Message received: team6,robot,1,plate
17:56:57.840: Awarded: 0 pts
17:56:57.908: Message received: team6,robot,1,plate
17:56:57.909: Awarded: 0 pts
17:56:57.972: Message received: team6,robot,1,plate
17:56:57.973: Awarded: 0 pts
17:56:58.044: Message received: team6,robot,1,plate
17:56:58.044: Awarded: 0 pts
17:56:58.110: Message received: team6,robot,1,plate
17:56:58.111: Awarded: 0 pts
17:56:58.178: Message received: team6,robot,1,plate
17:56:58.178: Awarded: 0 pts
17:56:58.245: Message received: team6,robot,1,plate
17:56:58.245: Awarded: 0 pts
17:56:58.314: Message received: team6,robot,1,plate
17:56:58.315: Awarded: 0 pts
17:56:58.381: Message received: team6,robot,1,plate
17:56:58.381: Awarded: 0 pts
17:56:58.446: Message received: team6,robot,1,plate
17:56:58.446: Awarded: 0 pts
17:56:58.517: Message received: team6,robot,1,plate
17:56:58.518: Awarded: 0 pts
17:56:58.582: Message received: team6,robot,1,plate
17:56:58.583: Awarded: 0 pts
17:56:58.653: Message received: team6,robot,1,plate
17:56:58.654: Awarded: 0 pts
17:56:58.722: Message received: team6,robot,1,plate
17:56:58.723: Awarded: 0 pts
17:56:58.748: Message received: team6,robot,-1,stop
17:56:58.847: Message received: team6,robot,1,plate
17:56:58.847: Awarded: 0 pts
17:56:58.863: Message received: team6,robot,1,plate
17:56:58.874: Awarded: 0 pts
17:56:58.929: Message received: team6,robot,1,plate
17:56:58.929: Awarded: 0 pts
17:56:58.993: Message received: team6,robot,1,plate
17:56:58.993: Awarded: 0 pts
17:56:59.065: Message received: team6,robot,1,plate
17:56:59.065: Awarded: 0 pts
17:56:59.130: Message received: team6,robot,1,plate
17:56:59.131: Awarded: 0 pts
17:56:59.198: Message received: team6,robot,1,plate
17:56:59.199: Awarded: 0 pts
17:56:59.266: Message received: team6,robot,1,plate
17:56:59.266: Awarded: 0 pts
17:56:59.339: Message received: team6,robot,1,plate
17:56:59.340: Awarded: 0 pts
17:56:59.405: Message received: team6,robot,1,plate
17:56:59.406: Awarded: 0 pts
17:56:59.468: Message received: team6,robot,1,plate
17:56:59.468: Awarded: 0 pts
17:56:59.538: Message received: team6,robot,1,plate
17:56:59.539: Awarded: 0 pts
17:56:59.602: Message received: team6,robot,1,plate
17:56:59.603: Awarded: 0 pts
17:56:59.670: Message received: team6,robot,1,plate
17:56:59.671: Awarded: 0 pts
17:56:59.740: Message received: team6,robot,1,plate
17:56:59.741: Awarded: 0 pts
17:56:59.805: Message received: team6,robot,1,plate
17:56:59.805: Awarded: 0 pts
17:56:59.872: Message received: team6,robot,1,plate
17:56:59.873: Awarded: 0 pts
17:56:59.940: Message received: team6,robot,1,plate
17:56:59.941: Awarded: 0 pts
17:57:00.011: Message received: team6,robot,1,plate
17:57:00.012: Awarded: 0 pts
17:57:00.080: Message received: team6,robot,1,plate
17:57:00.081: Awarded: 0 pts
17:57:00.145: Message received: team6,robot,1,plate
17:57:00.145: Awarded: 0 pts
17:57:00.266: Message received: team6,robot,1,plate
17:57:00.267: Awarded: 0 pts
17:57:00.372: Message received: team6,robot,1,plate
17:57:00.372: Awarded: 0 pts
17:57:00.478: Message received: team6,robot,1,plate
17:57:00.479: Awarded: 0 pts
17:57:00.583: Message received: team6,robot,1,plate
17:57:00.584: Awarded: 0 pts
17:57:00.688: Message received: team6,robot,1,plate
17:57:00.689: Awarded: 0 pts
17:57:00.794: Message received: team6,robot,1,plate
17:57:00.794: Awarded: 0 pts
17:57:01.202: Message received: team6,robot,1,plate
17:57:01.203: Awarded: 0 pts
17:57:01.257: Message received: team6,robot,1,plate
17:57:01.258: Awarded: 0 pts
17:57:01.312: Message received: team6,robot,1,plate
17:57:01.313: Awarded: 0 pts
17:57:01.362: Message received: team6,robot,1,plate
17:57:01.363: Awarded: 0 pts
17:57:01.415: Message received: team6,robot,1,plate
17:57:01.416: Awarded: 0 pts
17:57:01.467: Message received: team6,robot,1,plate
17:57:01.468: Awarded: 0 pts
17:57:01.519: Message received: team6,robot,1,plate
17:57:01.519: Awarded: 0 pts
17:57:01.572: Message received: team6,robot,1,plate
17:57:01.573: Awarded: 0 pts
17:57:01.638: Message received: team6,robot,1,plate
17:57:01.639: Awarded: 0 pts
17:57:01.692: Message received: team6,robot,1,plate
17:57:01.693: Awarded: 0 pts
17:57:01.743: Message received: team6,robot,1,plate
17:57:01.743: Awarded: 0 pts
17:57:01.793: Message received: team6,robot,1,plate
17:57:01.793: Awarded: 0 pts
17:57:01.839: Message received: team6,robot,1,plate
17:57:01.840: Awarded: 0 pts
17:57:01.886: Message received: team6,robot,1,plate
17:57:01.887: Awarded: 0 pts
17:57:01.932: Message received: team6,robot,1,plate
17:57:01.933: Awarded: 0 pts
17:57:01.979: Message received: team6,robot,1,plate
17:57:01.979: Awarded: 0 pts
17:57:02.028: Message received: team6,robot,1,plate
17:57:02.028: Awarded: 0 pts
17:57:02.076: Message received: team6,robot,1,plate
17:57:02.077: Awarded: 0 pts
17:57:02.131: Message received: team6,robot,1,plate
17:57:02.132: Awarded: 0 pts
17:57:02.179: Message received: team6,robot,1,plate
17:57:02.180: Awarded: 0 pts
17:57:02.229: Message received: team6,robot,1,plate
17:57:02.230: Awarded: 0 pts
17:57:02.280: Message received: team6,robot,1,plate
17:57:02.281: Awarded: 0 pts
17:57:02.330: Message received: team6,robot,1,plate
17:57:02.332: Awarded: 0 pts
17:57:02.382: Message received: team6,robot,1,plate
17:57:02.382: Awarded: 0 pts
17:57:02.445: Message received: team6,robot,1,plate
17:57:02.446: Awarded: 0 pts
17:57:02.515: Message received: team6,robot,1,plate
17:57:02.516: Awarded: 0 pts
17:57:02.580: Message received: team6,robot,1,plate
17:57:02.581: Awarded: 0 pts
17:57:02.646: Message received: team6,robot,1,plate
17:57:02.647: Awarded: 0 pts
17:57:02.718: Message received: team6,robot,1,plate
17:57:02.718: Awarded: 0 pts
17:57:02.781: Message received: team6,robot,1,plate
17:57:02.782: Awarded: 0 pts
17:57:02.853: Message received: team6,robot,1,plate
17:57:02.853: Awarded: 0 pts
17:57:02.921: Message received: team6,robot,1,plate
17:57:02.922: Awarded: 0 pts
17:57:02.986: Message received: team6,robot,1,plate
17:57:02.987: Awarded: 0 pts
17:57:03.055: Message received: team6,robot,1,plate
17:57:03.056: Awarded: 0 pts
17:57:03.121: Message received: team6,robot,1,plate
17:57:03.122: Awarded: 0 pts
17:57:03.189: Message received: team6,robot,1,plate
17:57:03.190: Awarded: 0 pts
17:57:03.260: Message received: team6,robot,1,plate
17:57:03.260: Awarded: 0 pts
17:57:03.326: Message received: team6,robot,1,plate
17:57:03.326: Awarded: 0 pts
17:57:03.402: Message received: team6,robot,1,plate
17:57:03.402: Awarded: 0 pts
17:57:03.459: Message received: team6,robot,1,plate
17:57:03.459: Awarded: 0 pts
17:57:03.537: Message received: team6,robot,1,plate
17:57:03.538: Awarded: 0 pts
17:57:03.604: Message received: team6,robot,1,plate
17:57:03.605: Awarded: 0 pts
17:57:03.664: Message received: team6,robot,1,plate
17:57:03.665: Awarded: 0 pts
17:57:03.735: Message received: team6,robot,1,plate
17:57:03.735: Awarded: 0 pts
17:57:03.799: Message received: team6,robot,1,plate
17:57:03.800: Awarded: 0 pts
17:57:03.867: Message received: team6,robot,1,plate
17:57:03.868: Awarded: 0 pts
17:57:03.935: Message received: team6,robot,1,plate
17:57:03.935: Awarded: 0 pts
17:57:04.000: Message received: team6,robot,1,plate
17:57:04.001: Awarded: 0 pts
17:57:04.070: Message received: team6,robot,1,plate
17:57:04.072: Awarded: 0 pts
17:57:04.141: Message received: team6,robot,1,plate
17:57:04.142: Awarded: 0 pts
17:57:04.207: Message received: team6,robot,1,plate
17:57:04.207: Awarded: 0 pts
17:57:04.275: Message received: team6,robot,1,plate
17:57:04.276: Awarded: 0 pts
17:57:04.344: Message received: team6,robot,1,plate
17:57:04.345: Awarded: 0 pts
17:57:04.410: Message received: team6,robot,1,plate
17:57:04.411: Awarded: 0 pts
17:57:04.477: Message received: team6,robot,1,plate
17:57:04.478: Awarded: 0 pts
17:57:04.554: Message received: team6,robot,1,plate
17:57:04.555: Awarded: 0 pts
17:57:04.613: Message received: team6,robot,1,plate
17:57:04.613: Awarded: 0 pts
17:57:04.685: Message received: team6,robot,1,plate
17:57:04.685: Awarded: 0 pts
17:57:04.758: Message received: team6,robot,1,plate
17:57:04.759: Awarded: 0 pts
17:57:04.818: Message received: team6,robot,1,plate
17:57:04.819: Awarded: 0 pts
17:57:04.887: Message received: team6,robot,1,plate
17:57:04.888: Awarded: 0 pts
17:57:04.954: Message received: team6,robot,1,plate
17:57:04.954: Awarded: 0 pts
17:57:05.020: Message received: team6,robot,1,plate
17:57:05.020: Awarded: 0 pts
17:57:05.087: Message received: team6,robot,1,plate
17:57:05.088: Awarded: 0 pts
17:57:05.160: Message received: team6,robot,1,plate
17:57:05.161: Awarded: 0 pts
17:57:05.226: Message received: team6,robot,1,plate
17:57:05.227: Awarded: 0 pts
17:57:05.292: Message received: team6,robot,1,plate
17:57:05.293: Awarded: 0 pts
17:57:05.359: Message received: team6,robot,1,plate
17:57:05.360: Awarded: 0 pts
17:57:05.436: Message received: team6,robot,1,plate
17:57:05.437: Awarded: 0 pts
17:57:05.496: Message received: team6,robot,1,plate
17:57:05.496: Awarded: 0 pts
17:57:05.564: Message received: team6,robot,1,plate
17:57:05.564: Awarded: 0 pts
17:57:05.632: Message received: team6,robot,1,plate
17:57:05.633: Awarded: 0 pts
17:57:05.699: Message received: team6,robot,1,plate
17:57:05.699: Awarded: 0 pts
17:57:05.765: Message received: team6,robot,1,plate
17:57:05.766: Awarded: 0 pts
17:57:05.841: Message received: team6,robot,1,plate
17:57:05.842: Awarded: 0 pts
17:57:05.901: Message received: team6,robot,1,plate
17:57:05.901: Awarded: 0 pts
17:57:05.968: Message received: team6,robot,1,plate
17:57:05.968: Awarded: 0 pts
17:57:06.041: Message received: team6,robot,1,plate
17:57:06.042: Awarded: 0 pts
17:57:06.105: Message received: team6,robot,1,plate
17:57:06.106: Awarded: 0 pts
17:57:06.171: Message received: team6,robot,1,plate
17:57:06.172: Awarded: 0 pts
17:57:06.238: Message received: team6,robot,1,plate
17:57:06.239: Awarded: 0 pts
17:57:06.307: Message received: team6,robot,1,plate
17:57:06.307: Awarded: 0 pts
17:57:06.375: Message received: team6,robot,1,plate
17:57:06.375: Awarded: 0 pts
17:57:06.445: Message received: team6,robot,1,plate
17:57:06.446: Awarded: 0 pts
17:57:06.509: Message received: team6,robot,1,plate
17:57:06.510: Awarded: 0 pts
17:57:06.582: Message received: team6,robot,1,plate
17:57:06.582: Awarded: 0 pts
17:57:06.647: Message received: team6,robot,1,plate
17:57:06.648: Awarded: 0 pts
17:57:06.715: Message received: team6,robot,1,plate
17:57:06.716: Awarded: 0 pts
17:57:06.784: Message received: team6,robot,1,plate
17:57:06.784: Awarded: 0 pts
17:57:06.857: Message received: team6,robot,1,plate
17:57:06.858: Awarded: 0 pts
17:57:06.919: Message received: team6,robot,1,plate
17:57:06.920: Awarded: 0 pts
17:57:06.987: Message received: team6,robot,1,plate
17:57:06.988: Awarded: 0 pts
17:57:07.052: Message received: team6,robot,1,plate
17:57:07.053: Awarded: 0 pts
17:57:07.121: Message received: team6,robot,1,plate
17:57:07.122: Awarded: 0 pts
17:57:07.192: Message received: team6,robot,1,plate
17:57:07.192: Awarded: 0 pts
17:57:07.254: Message received: team6,robot,1,plate
17:57:07.255: Awarded: 0 pts
17:57:07.324: Message received: team6,robot,1,plate
17:57:07.325: Awarded: 0 pts
17:57:07.404: Message received: team6,robot,1,plate
17:57:07.407: Awarded: 0 pts
17:57:07.463: Message received: team6,robot,1,plate
17:57:07.464: Awarded: 0 pts
17:57:07.527: Message received: team6,robot,1,plate
17:57:07.528: Awarded: 0 pts
17:57:07.597: Message received: team6,robot,1,plate
17:57:07.597: Awarded: 0 pts
17:57:07.665: Message received: team6,robot,1,plate
17:57:07.665: Awarded: 0 pts
17:57:07.729: Message received: team6,robot,1,plate
17:57:07.729: Awarded: 0 pts
17:57:07.798: Message received: team6,robot,1,plate
17:57:07.799: Awarded: 0 pts
17:57:07.865: Message received: team6,robot,1,plate
17:57:07.866: Awarded: 0 pts
17:57:07.933: Message received: team6,robot,1,plate
17:57:07.933: Awarded: 0 pts
17:57:07.999: Message received: team6,robot,1,plate
17:57:07.999: Awarded: 0 pts
17:57:08.069: Message received: team6,robot,1,plate
17:57:08.069: Awarded: 0 pts
17:57:08.135: Message received: team6,robot,1,plate
17:57:08.135: Awarded: 0 pts
17:57:08.205: Message received: team6,robot,1,plate
17:57:08.205: Awarded: 0 pts
17:57:08.272: Message received: team6,robot,1,plate
17:57:08.272: Awarded: 0 pts
17:57:08.339: Message received: team6,robot,1,plate
17:57:08.339: Awarded: 0 pts
17:57:08.409: Message received: team6,robot,1,plate
17:57:08.409: Awarded: 0 pts
17:57:08.477: Message received: team6,robot,1,plate
17:57:08.477: Awarded: 0 pts
17:57:08.543: Message received: team6,robot,1,plate
17:57:08.544: Awarded: 0 pts
17:57:08.613: Message received: team6,robot,1,plate
17:57:08.614: Awarded: 0 pts
17:57:08.683: Message received: team6,robot,1,plate
17:57:08.683: Awarded: 0 pts
17:57:08.749: Message received: team6,robot,1,plate
17:57:08.750: Awarded: 0 pts
17:57:08.819: Message received: team6,robot,1,plate
17:57:08.820: Awarded: 0 pts
17:57:08.887: Message received: team6,robot,1,plate
17:57:08.888: Awarded: 0 pts
17:57:08.911: Message received: team6,robot,-1,stop
17:57:08.950: Message received: team6,robot,1,plate
17:57:08.951: Awarded: 0 pts
17:57:09.021: Message received: team6,robot,1,plate
17:57:09.021: Awarded: 0 pts
17:57:09.087: Message received: team6,robot,1,plate
17:57:09.087: Awarded: 0 pts
17:57:09.157: Message received: team6,robot,1,plate
17:57:09.158: Awarded: 0 pts
17:57:09.226: Message received: team6,robot,1,plate
17:57:09.227: Awarded: 0 pts
17:57:09.294: Message received: team6,robot,1,plate
17:57:09.294: Awarded: 0 pts
17:57:09.360: Message received: team6,robot,1,plate
17:57:09.360: Awarded: 0 pts
17:57:09.426: Message received: team6,robot,1,plate
17:57:09.427: Awarded: 0 pts
17:57:09.495: Message received: team6,robot,1,plate
17:57:09.496: Awarded: 0 pts
17:57:09.561: Message received: team6,robot,1,plate
17:57:09.561: Awarded: 0 pts
17:57:09.631: Message received: team6,robot,1,plate
17:57:09.632: Awarded: 0 pts
17:57:09.696: Message received: team6,robot,1,plate
17:57:09.696: Awarded: 0 pts
17:57:09.762: Message received: team6,robot,1,plate
17:57:09.763: Awarded: 0 pts
17:57:09.830: Message received: team6,robot,1,plate
17:57:09.830: Awarded: 0 pts
17:57:09.899: Message received: team6,robot,1,plate
17:57:09.900: Awarded: 0 pts
17:57:09.964: Message received: team6,robot,1,plate
17:57:09.965: Awarded: 0 pts
17:57:10.034: Message received: team6,robot,1,plate
17:57:10.034: Awarded: 0 pts
17:57:10.100: Message received: team6,robot,1,plate
17:57:10.101: Awarded: 0 pts
17:57:10.167: Message received: team6,robot,1,plate
17:57:10.168: Awarded: 0 pts
17:57:10.237: Message received: team6,robot,1,plate
17:57:10.238: Awarded: 0 pts
17:57:10.302: Message received: team6,robot,1,plate
17:57:10.303: Awarded: 0 pts
17:57:10.370: Message received: team6,robot,1,plate
17:57:10.371: Awarded: 0 pts
17:57:10.438: Message received: team6,robot,1,plate
17:57:10.438: Awarded: 0 pts
17:57:10.507: Message received: team6,robot,1,plate
17:57:10.508: Awarded: 0 pts
17:57:10.574: Message received: team6,robot,1,plate
17:57:10.574: Awarded: 0 pts
17:57:10.640: Message received: team6,robot,1,plate
17:57:10.641: Awarded: 0 pts
17:57:10.715: Message received: team6,robot,1,plate
17:57:10.716: Awarded: 0 pts
17:57:10.833: Message received: team6,robot,1,plate
17:57:10.834: Awarded: 0 pts
17:57:10.939: Message received: team6,robot,1,plate
17:57:10.940: Awarded: 0 pts
17:57:11.044: Message received: team6,robot,1,plate
17:57:11.045: Awarded: 0 pts
17:57:11.152: Message received: team6,robot,1,plate
17:57:11.153: Awarded: 0 pts
