17:54:17.578: Position 1: EO11
17:54:33.636: Awarded: 0 pts
17:54:33.707: Message received: team6,robot,1,plate
17:54:33.707: Awarded: 0 pts
17:54:33.771: Message received: team6,robot,1,plate
17:54:33.771: Awarded: 0 pts
17:54:33.841: Message received: team6,robot,1,plate
17:54:33.842: Awarded: 0 pts
17:54:33.912: Message received: team6,robot,1,plate
17:54:33.912: Awarded: 0 pts
17:54:33.979: Message received: team6,robot,1,plate
17:54:33.980: Awarded: 0 pts
17:54:34.045: Message received: team6,robot,1,plate
17:54:34.045: Awarded: 0 pts
17:54:34.112: Message received: team6,robot,1,plate
17:54:34.112: Awarded: 0 pts
17:54:34.182: Message received: team6,robot,1,plate
17:54:34.182: Awarded: 0 pts
17:54:34.249: Message received: team6,robot,1,plate
17:54:34.249: Awarded: 0 pts
17:54:34.320: Message received: team6,robot,1,plate
17:54:34.321: Awarded: 0 pts
17:54:34.385: Message received: team6,robot,1,plate
17:54:34.386: Awarded: 0 pts
17:54:34.459: Message received: team6,robot,1,plate
17:54:34.460: Awarded: 0 pts
17:54:34.525: Message received: team6,robot,1,plate
17:54:34.526: Awarded: 0 pts
17:54:34.590: Message received: team6,robot,1,plate
17:54:34.590: Awarded: 0 pts
17:54:34.652: Message received: team6,robot,1,plate
17:54:34.652: Awarded: 0 pts
17:54:34.721: Message received: team6,robot,1,plate
17:54:34.721: Awarded: 0 pts
17:54:34.789: Message received: team6,robot,1,plate
17:54:34.790: Awarded: 0 pts
17:54:34.857: Message received: team6,robot,1,plate
17:54:34.858: Awarded: 0 pts
17:54:34.923: Message received: team6,robot,1,plate
17:54:34.923: Awarded: 0 pts
17:54:34.993: Message received: team6,robot,1,plate
17:54:34.993: Awarded: 0 pts
17:54:35.061: Message received: team6,robot,1,plate
17:54:35.062: Awarded: 0 pts
17:54:35.129: Message received: team6,robot,1,plate
17:54:35.130: Awarded: 0 pts
17:54:35.197: Message received: team6,robot,1,plate
17:54:35.198: Awarded: 0 pts
17:54:35.261: Message received: team6,robot,1,plate
17:54:35.261: Awarded: 0 pts
17:54:35.331: Message received: team6,robot,1,plate
17:54:35.332: Awarded: 0 pts
17:54:35.397: Message received: team6,robot,1,plate
17:54:35.398: Awarded: 0 pts
17:54:35.468: Message received: team6,robot,1,plate
17:54:35.468: Awarded: 0 pts
17:54:35.533: Message received: team6,robot,1,plate
17:54:35.534: Awarded: 0 pts
17:54:35.606: Message received: team6,robot,1,plate
17:54:35.606: Awarded: 0 pts
17:54:35.670: Message received: team6,robot,1,plate
17:54:35.670: Awarded: 0 pts
17:54:35.739: Message received: team6,robot,1,plate
17:54:35.740: Awarded: 0 pts
17:54:35.804: Message received: team6,robot,1,plate
17:54:35.805: Awarded: 0 pts
17:54:35.875: Message received: team6,robot,1,plate
17:54:35.875: Awarded: 0 pts
17:54:35.943: Message received: team6,robot,1,plate
17:54:35.943: Awarded: 0 pts
17:54:36.008: Message received: team6,robot,1,plate
17:54:36.009: Awarded: 0 pts
17:54:36.077: Message received: team6,robot,1,plate
17:54:36.078: Awarded: 0 pts
17:54:36.141: Message received: team6,robot,1,plate
17:54:36.142: Awarded: 0 pts
17:54:36.211: Message received: team6,robot,1,plate
17:54:36.211: Awarded: 0 pts
17:54:36.277: Message received: team6,robot,1,plate
17:54:36.278: Awarded: 0 pts
17:54:36.349: Message received: team6,robot,1,plate
17:54:36.350: Awarded: 0 pts
17:54:36.418: Message received: team6,robot,1,plate
17:54:36.418: Awarded: 0 pts
17:54:36.481: Message received: team6,robot,1,plate
17:54:36.481: Awarded: 0 pts
17:54:36.552: Message received: team6,robot,1,plate
17:54:36.553: Awarded: 0 pts
17:54:36.621: Message received: team6,robot,1,plate
17:54:36.622: Awarded: 0 pts
17:54:36.686: Message received: team6,robot,1,plate
17:54:36.686: Awarded: 0 pts
17:54:36.753: Message received: team6,robot,1,plate
17:54:36.753: Awarded: 0 pts
17:54:36.828: Message received: team6,robot,1,plate
17:54:36.829: Awarded: 0 pts
17:54:36.891: Message received: team6,robot,1,plate
17:54:36.892: Awarded: 0 pts
17:54:36.959: Message received: team6,robot,1,plate
17:54:36.959: Awarded: 0 pts
17:54:37.026: Message received: team6,robot,1,plate
17:54:37.027: Awarded: 0 pts
17:54:37.090: Message received: team6,robot,1,plate
17:54:37.091: Awarded: 0 pts
17:54:37.159: Message received: team6,robot,1,plate
17:54:37.160: Awarded: 0 pts
17:54:37.226: Message received: team6,robot,1,plate
17:54:37.226: Awarded: 0 pts
17:54:37.291: Message received: team6,robot,1,plate
17:54:37.291: Awarded: 0 pts
17:54:37.358: Message received: team6,robot,1,plate
17:54:37.359: Awarded: 0 pts
17:54:37.425: Message received: team6,robot,1,plate
17:54:37.426: Awarded: 0 pts
17:54:37.496: Message received: team6,robot,1,plate
17:54:37.497: Awarded: 0 pts
17:54:37.563: Message received: team6,robot,1,plate
17:54:37.563: Awarded: 0 pts
17:54:37.629: Message received: team6,robot,1,plate
17:54:37.629: Awarded: 0 pts
17:54:37.695: Message received: team6,robot,1,plate
17:54:37.695: Awarded: 0 pts
17:54:37.763: Message received: team6,robot,1,plate
17:54:37.764: Awarded: 0 pts
17:54:37.831: Message received: team6,robot,1,plate
17:54:37.832: Awarded: 0 pts
17:54:37.897: Message received: team6,robot,1,plate
17:54:37.898: Awarded: 0 pts
17:54:37.964: Message received: team6,robot,1,plate
17:54:37.965: Awarded: 0 pts
17:54:38.033: Message received: team6,robot,1,plate
17:54:38.034: Awarded: 0 pts
17:54:38.102: Message received: team6,robot,1,plate
17:54:38.103: Awarded: 0 pts
17:54:38.169: Message received: team6,robot,1,plate
17:54:38.169: Awarded: 0 pts
17:54:38.236: Message received: team6,robot,1,plate
17:54:38.236: Awarded: 0 pts
17:54:38.302: Message received: team6,robot,1,plate
17:54:38.303: Awarded: 0 pts
17:54:38.370: Message received: team6,robot,1,plate
17:54:38.370: Awarded: 0 pts
17:54:38.438: Message received: team6,robot,1,plate
17:54:38.439: Awarded: 0 pts
17:54:38.504: Message received: team6,robot,1,plate
17:54:38.505: Awarded: 0 pts
17:54:38.574: Message received: team6,robot,1,plate
17:54:38.574: Awarded: 0 pts
17:54:38.641: Message received: team6,robot,1,plate
17:54:38.642: Awarded: 0 pts
17:54:38.711: Message received: team6,robot,1,plate
17:54:38.712: Awarded: 0 pts
17:54:38.776: Message received: team6,robot,1,plate
17:54:38.776: Awarded: 0 pts
17:54:38.842: Message received: team6,robot,1,plate
17:54:38.843: Awarded: 0 pts
17:54:38.917: Message received: team6,robot,1,plate
17:54:38.918: Awarded: 0 pts
17:54:38.979: Message received: team6,robot,1,plate
17:54:38.980: Awarded: 0 pts
17:54:39.051: Message received: team6,robot,1,plate
17:54:39.052: Awarded: 0 pts
17:54:39.113: Message received: team6,robot,1,plate
17:54:39.114: Awarded: 0 pts
17:54:39.179: Message received: team6,robot,1,plate
17:54:39.180: Awarded: 0 pts
17:54:39.248: Message received: team6,robot,1,plate
17:54:39.248: Awarded: 0 pts
17:54:39.317: Message received: team6,robot,1,plate
17:54:39.317: Awarded: 0 pts
17:54:39.384: Message received: team6,robot,1,plate
17:54:39.384: Awarded: 0 pts
17:54:39.451: Message received: team6,robot,1,plate
17:54:39.451: Awarded: 0 pts
17:54:39.519: Message received: team6,robot,1,plate
17:54:39.519: Awarded: 0 pts
17:54:39.590: Message received: team6,robot,1,plate
17:54:39.591: Awarded: 0 pts
17:54:39.654: Message received: team6,robot,1,plate
17:54:39.654: Awarded: 0 pts
17:54:39.721: Message received: team6,robot,1,plate
17:54:39.722: Awarded: 0 pts
17:54:39.787: Message received: team6,robot,1,plate
17:54:39.787: Awarded: 0 pts
17:54:39.854: Message received: team6,robot,1,plate
17:54:39.855: Awarded: 0 pts
17:54:39.928: Message received: team6,robot,1,plate
17:54:39.928: Awarded: 0 pts
17:54:39.992: Message received: team6,robot,1,plate
17:54:39.993: Awarded: 0 pts
17:54:40.060: Message received: team6,robot,1,plate
17:54:40.060: Awarded: 0 pts
17:54:40.123: Message received: team6,robot,1,plate
17:54:40.124: Awarded: 0 pts
17:54:40.191: Message received: team6,robot,1,plate
17:54:40.192: Awarded: 0 pts
17:54:40.259: Message received: team6,robot,1,plate
17:54:40.260: Awarded: 0 pts
17:54:40.326: Message received: team6,robot,1,plate
17:54:40.326: Awarded: 0 pts
17:54:40.397: Message received: team6,robot,1,plate
17:54:40.398: Awarded: 0 pts
17:54:40.462: Message received: team6,robot,1,plate
17:54:40.463: Awarded: 0 pts
17:54:40.534: Message received: team6,robot,1,plate
17:54:40.534: Awarded: 0 pts
17:54:40.599: Message received: team6,robot,1,plate
17:54:40.600: Awarded: 0 pts
17:54:40.665: Message received: team6,robot,1,plate
17:54:40.665: Awarded: 0 pts
17:54:40.734: Message received: team6,robot,1,plate
17:54:40.735: Awarded: 0 pts
17:54:40.804: Message received: team6,robot,1,plate
17:54:40.805: Awarded: 0 pts
17:54:40.872: Message received: team6,robot,1,plate
17:54:40.873: Awarded: 0 pts
17:54:40.937: Message received: team6,robot,1,plate
17:54:40.938: Awarded: 0 pts
17:54:41.005: Message received: team6,robot,1,plate
17:54:41.005: Awarded: 0 pts
17:54:41.071: Message received: team6,robot,1,plate
17:54:41.071: Awarded: 0 pts
17:54:41.139: Message received: team6,robot,1,plate
17:54:41.140: Awarded: 0 pts
17:54:41.209: Message received: team6,robot,1,plate
17:54:41.210: Awarded: 0 pts
17:54:41.275: Message received: team6,robot,1,plate
17:54:41.275: Awarded: 0 pts
17:54:41.343: Message received: team6,robot,1,plate
17:54:41.344: Awarded: 0 pts
17:54:41.411: Message received: team6,robot,1,plate
17:54:41.412: Awarded: 0 pts
17:54:41.481: Message received: team6,robot,1,plate
17:54:41.482: Awarded: 0 pts
17:54:41.547: Message received: team6,robot,1,plate
17:54:41.547: Awarded: 0 pts
17:54:41.614: Message received: team6,robot,1,plate
17:54:41.615: Awarded: 0 pts
17:54:41.679: Message received: team6,robot,1,plate
17:54:41.680: Awarded: 0 pts
17:54:41.747: Message received: team6,robot,1,plate
17:54:41.748: Awarded: 0 pts
17:54:41.818: Message received: team6,robot,1,plate
17:54:41.818: Awarded: 0 pts
17:54:41.886: Message received: team6,robot,1,plate
17:54:41.886: Awarded: 0 pts
17:54:41.956: Message received: team6,robot,1,plate
17:54:41.956: Awarded: 0 pts
17:54:42.020: Message received: team6,robot,1,plate
17:54:42.020: Awarded: 0 pts
17:54:42.092: Message received: team6,robot,1,plate
17:54:42.093: Awarded: 0 pts
17:54:42.153: Message received: team6,robot,1,plate
17:54:42.154: Awarded: 0 pts
17:54:42.224: Message received: team6,robot,1,plate
17:54:42.225: Awarded: 0 pts
17:54:42.291: Message received: team6,robot,1,plate
17:54:42.291: Awarded: 0 pts
17:54:42.415: Message received: team6,robot,1,plate
17:54:42.415: Awarded: 0 pts
17:54:42.520: Message received: team6,robot,1,plate
17:54:42.521: Awarded: 0 pts
17:54:42.625: Message received: team6,robot,1,plate
17:54:42.626: Awarded: 0 pts
17:54:42.732: Message received: team6,robot,1,plate
17:54:42.733: Awarded: 0 pts
17:54:42.837: Message received: team6,robot,1,plate
17:54:42.838: Awarded: 0 pts
17:54:42.941: Message received: team6,robot,1,plate
17:54:42.942: Awarded: 0 pts
17:54:43.043: Message received: team6,robot,1,plate
17:54:43.046: Awarded: 0 pts
17:54:43.152: Message received: team6,robot,1,plate
17:54:43.153: Awarded: 0 pts
17:54:43.260: Message received: team6,robot,1,plate
17:54:43.261: Awarded: 0 pts
17:54:43.366: Message received: team6,robot,1,plate
17:54:43.367: Awarded: 0 pts
17:54:43.471: Message received: team6,robot,1,plate
17:54:43.472: Awarded: 0 pts
17:54:43.576: Message received: team6,robot,1,plate
17:54:43.577: Awarded: 0 pts
17:54:43.682: Message received: team6,robot,1,plate
17:54:43.682: Awarded: 0 pts
17:54:43.788: Message received: team6,robot,1,plate
17:54:43.788: Awarded: 0 pts
17:54:43.897: Message received: team6,robot,1,plate
17:54:43.897: Awarded: 0 pts
17:54:44.002: Message received: team6,robot,1,plate
17:54:44.003: Awarded: 0 pts
17:54:44.108: Message received: team6,robot,1,plate
17:54:44.110: Awarded: 0 pts
17:54:44.214: Message received: team6,robot,1,plate
17:54:44.214: Awarded: 0 pts
17:54:44.319: Message received: team6,robot,1,plate
17:54:44.320: Awarded: 0 pts
17:54:44.425: Message received: team6,robot,1,plate
17:54:44.425: Awarded: 0 pts
17:54:44.530: Message received: team6,robot,1,plate
17:54:44.531: Awarded: 0 pts
17:54:44.637: Message received: team6,robot,1,plate
17:54:44.637: Awarded: 0 pts
17:54:44.742: Message received: team6,robot,1,plate
17:54:44.743: Awarded: 0 pts
17:54:44.848: Message received: team6,robot,1,plate
17:54:44.849: Awarded: 0 pts
17:54:44.954: Message received: team6,robot,1,plate
17:54:44.955: Awarded: 0 pts
17:54:45.060: Message received: team6,robot,1,plate
17:54:45.061: Awarded: 0 pts
17:54:45.165: Message received: team6,robot,1,plate
17:54:45.166: Awarded: 0 pts
17:54:45.271: Message received: team6,robot,1,plate
17:54:45.272: Awarded: 0 pts
17:54:45.378: Message received: team6,robot,1,plate
17:54:45.379: Awarded: 0 pts
17:54:45.485: Message received: team6,robot,1,plate
17:54:45.485: Awarded: 0 pts
17:54:45.591: Message received: team6,robot,1,plate
17:54:45.592: Awarded: 0 pts
17:54:45.697: Message received: team6,robot,1,plate
17:54:45.698: Awarded: 0 pts
17:54:45.801: Message received: team6,robot,1,plate
17:54:45.801: Awarded: 0 pts
17:54:45.907: Message received: team6,robot,1,plate
17:54:45.908: Awarded: 0 pts
17:54:46.013: Message received: team6,robot,1,plate
17:54:46.014: Awarded: 0 pts
17:54:46.422: Message received: team6,robot,1,plate
17:54:46.423: Awarded: 0 pts
17:54:46.470: Message received: team6,robot,1,plate
17:54:46.471: Awarded: 0 pts
17:54:46.522: Message received: team6,robot,1,plate
17:54:46.523: Awarded: 0 pts
17:54:46.574: Message received: team6,robot,1,plate
17:54:46.575: Awarded: 0 pts
17:54:46.633: Message received: team6,robot,1,plate
17:54:46.634: Awarded: 0 pts
17:54:46.687: Message received: team6,robot,1,plate
17:54:46.688: Awarded: 0 pts
17:54:46.737: Message received: team6,robot,1,plate
17:54:46.737: Awarded: 0 pts
17:54:46.788: Message received: team6,robot,1,plate
17:54:46.789: Awarded: 0 pts
17:54:46.840: Message received: team6,robot,1,plate
17:54:46.843: Awarded: 0 pts
17:54:46.893: Message received: team6,robot,1,plate
17:54:46.894: Awarded: 0 pts
17:54:46.942: Message received: team6,robot,1,plate
17:54:46.942: Awarded: 0 pts
17:54:46.992: Message received: team6,robot,1,plate
17:54:46.993: Awarded: 0 pts
17:54:47.042: Message received: team6,robot,1,plate
17:54:47.045: Awarded: 0 pts
