18:07:37.400: Position 1: JY51
18:08:17.943: Message received: team,robot,1,XXXX
18:08:17.944: Awarded: 0 pts
18:08:18.011: Message received: team,robot,1,XXXX
18:08:18.012: Awarded: 0 pts
18:08:18.080: Message received: team,robot,1,XXXX
18:08:18.081: Awarded: 0 pts
18:08:18.146: Message received: team,robot,1,XXXX
18:08:18.146: Awarded: 0 pts
18:08:18.208: Message received: team,robot,1,XXXX
18:08:18.209: Awarded: 0 pts
18:08:18.277: Message received: team,robot,1,XXXX
18:08:18.278: Awarded: 0 pts
18:08:18.345: Message received: team,robot,1,XXXX
18:08:18.352: Awarded: 0 pts
18:08:18.412: Message received: team,robot,1,XXXX
18:08:18.413: Awarded: 0 pts
18:08:18.482: Message received: team,robot,1,XXXX
18:08:18.482: Awarded: 0 pts
18:08:18.547: Message received: team,robot,1,XXXX
18:08:18.548: Awarded: 0 pts
18:08:18.615: Message received: team,robot,1,XXXX
18:08:18.616: Awarded: 0 pts
18:08:18.688: Message received: team,robot,1,XXXX
18:08:18.689: Awarded: 0 pts
18:08:18.754: Message received: team,robot,1,XXXX
18:08:18.754: Awarded: 0 pts
18:08:18.818: Message received: team,robot,1,XXXX
18:08:18.819: Awarded: 0 pts
18:08:18.886: Message received: team,robot,1,XXXX
18:08:18.887: Awarded: 0 pts
18:08:18.954: Message received: team,robot,1,XXXX
18:08:18.955: Awarded: 0 pts
18:08:19.023: Message received: team,robot,1,XXXX
18:08:19.023: Awarded: 0 pts
18:08:19.090: Message received: team,robot,1,XXXX
18:08:19.090: Awarded: 0 pts
18:08:19.162: Message received: team,robot,1,XXXX
18:08:19.163: Awarded: 0 pts
18:08:19.234: Message received: team,robot,1,XXXX
18:08:19.235: Awarded: 0 pts
18:08:19.296: Message received: team,robot,1,XXXX
18:08:19.296: Awarded: 0 pts
18:08:19.361: Message received: team,robot,1,XXXX
18:08:19.362: Awarded: 0 pts
18:08:19.431: Message received: team,robot,1,XXXX
18:08:19.431: Awarded: 0 pts
18:08:19.495: Message received: team,robot,1,XXXX
18:08:19.495: Awarded: 0 pts
18:08:19.564: Message received: team,robot,1,XXXX
18:08:19.565: Awarded: 0 pts
18:08:19.633: Message received: team,robot,1,XXXX
18:08:19.634: Awarded: 0 pts
18:08:19.698: Message received: team,robot,1,XXXX
18:08:19.698: Awarded: 0 pts
18:08:19.766: Message received: team,robot,1,XXXX
18:08:19.766: Awarded: 0 pts
18:08:19.831: Message received: team,robot,1,XXXX
18:08:19.831: Awarded: 0 pts
18:08:19.901: Message received: team,robot,1,XXXX
18:08:19.902: Awarded: 0 pts
18:08:19.969: Message received: team,robot,1,XXXX
18:08:19.970: Awarded: 0 pts
18:08:20.037: Message received: team,robot,1,XXXX
18:08:20.037: Awarded: 0 pts
18:08:20.106: Message received: team,robot,1,XXXX
18:08:20.107: Awarded: 0 pts
18:08:20.176: Message received: team,robot,1,XXXX
18:08:20.177: Awarded: 0 pts
18:08:20.241: Message received: team,robot,1,XXXX
18:08:20.241: Awarded: 0 pts
18:08:20.308: Message received: team,robot,1,XXXX
18:08:20.309: Awarded: 0 pts
18:08:20.374: Message received: team,robot,1,XXXX
18:08:20.375: Awarded: 0 pts
18:08:20.442: Message received: team,robot,1,XXXX
18:08:20.443: Awarded: 0 pts
18:08:20.514: Message received: team,robot,1,XXXX
18:08:20.514: Awarded: 0 pts
18:08:20.581: Message received: team,robot,1,XXXX
18:08:20.582: Awarded: 0 pts
18:08:20.647: Message received: team,robot,1,XXXX
18:08:20.647: Awarded: 0 pts
18:08:20.715: Message received: team,robot,1,XXXX
18:08:20.715: Awarded: 0 pts
18:08:20.785: Message received: team,robot,1,XXXX
18:08:20.786: Awarded: 0 pts
18:08:20.850: Message received: team,robot,1,XXXX
18:08:20.851: Awarded: 0 pts
18:08:20.919: Message received: team,robot,1,XXXX
18:08:20.919: Awarded: 0 pts
18:08:20.987: Message received: team,robot,1,XXXX
18:08:20.988: Awarded: 0 pts
18:08:21.057: Message received: team,robot,1,XXXX
18:08:21.058: Awarded: 0 pts
18:08:21.122: Message received: team,robot,1,XXXX
18:08:21.123: Awarded: 0 pts
18:08:21.191: Message received: team,robot,1,XXXX
18:08:21.192: Awarded: 0 pts
18:08:21.257: Message received: team,robot,1,XXXX
18:08:21.258: Awarded: 0 pts
18:08:21.325: Message received: team,robot,1,XXXX
18:08:21.326: Awarded: 0 pts
18:08:21.393: Message received: team,robot,1,XXXX
18:08:21.394: Awarded: 0 pts
18:08:21.462: Message received: team,robot,1,XXXX
18:08:21.462: Awarded: 0 pts
18:08:21.527: Message received: team,robot,1,XXXX
18:08:21.527: Awarded: 0 pts
18:08:21.595: Message received: team,robot,1,XXXX
18:08:21.596: Awarded: 0 pts
18:08:21.663: Message received: team,robot,1,XXXX
18:08:21.663: Awarded: 0 pts
18:08:21.730: Message received: team,robot,1,XXXX
18:08:21.731: Awarded: 0 pts
18:08:21.796: Message received: team,robot,1,XXXX
18:08:21.797: Awarded: 0 pts
18:08:21.872: Message received: team,robot,1,XXXX
18:08:21.873: Awarded: 0 pts
18:08:21.942: Message received: team,robot,1,XXXX
18:08:21.942: Awarded: 0 pts
18:08:22.009: Message received: team,robot,1,XXXX
18:08:22.009: Awarded: 0 pts
18:08:22.036: Message received: team,robot,-1,XXXX
