18:10:28.829: Position 1: PJ09
18:13:53.331: Message received: team,robot,1,XXXX
18:13:53.332: Awarded: 0 pts
18:13:53.428: Message received: team,robot,1,XXXX
18:13:53.429: Awarded: 0 pts
18:13:53.512: Message received: team,robot,1,XXXX
18:13:53.516: Awarded: 0 pts
18:13:53.605: Message received: team,robot,1,XXXX
18:13:53.606: Awarded: 0 pts
18:13:53.700: Message received: team,robot,1,XXXX
18:13:53.701: Awarded: 0 pts
18:13:53.789: Message received: team,robot,1,XXXX
18:13:53.790: Awarded: 0 pts
18:13:53.871: Message received: team,robot,1,XXXX
18:13:53.873: Awarded: 0 pts
18:13:53.958: Message received: team,robot,1,XXXX
18:13:53.963: Awarded: 0 pts
18:13:54.046: Message received: team,robot,1,XXXX
18:13:54.047: Awarded: 0 pts
18:13:54.129: Message received: team,robot,1,XXXX
18:13:54.130: Awarded: 0 pts
18:13:54.213: Message received: team,robot,1,XXXX
18:13:54.219: Awarded: 0 pts
18:13:54.296: Message received: team,robot,1,XXXX
18:13:54.300: Awarded: 0 pts
18:13:54.383: Message received: team,robot,1,XXXX
18:13:54.384: Awarded: 0 pts
18:13:54.466: Message received: team,robot,1,XXXX
18:13:54.467: Awarded: 0 pts
18:13:54.551: Message received: team,robot,1,XXXX
18:13:54.555: Awarded: 0 pts
18:13:54.644: Message received: team,robot,1,XXXX
18:13:54.645: Awarded: 0 pts
18:13:54.733: Message received: team,robot,1,XXXX
18:13:54.734: Awarded: 0 pts
18:13:54.816: Message received: team,robot,1,XXXX
18:13:54.817: Awarded: 0 pts
18:13:54.898: Message received: team,robot,1,XXXX
18:13:54.899: Awarded: 0 pts
18:13:54.986: Message received: team,robot,1,XXXX
18:13:54.988: Awarded: 0 pts
18:13:55.070: Message received: team,robot,1,XXXX
18:13:55.070: Awarded: 0 pts
18:13:55.153: Message received: team,robot,1,XXXX
18:13:55.154: Awarded: 0 pts
18:13:55.236: Message received: team,robot,1,XXXX
18:13:55.237: Awarded: 0 pts
18:13:55.329: Message received: team,robot,1,XXXX
18:13:55.331: Awarded: 0 pts
18:13:55.413: Message received: team,robot,1,XXXX
18:13:55.417: Awarded: 0 pts
18:13:55.499: Message received: team,robot,1,XXXX
18:13:55.501: Awarded: 0 pts
18:13:55.579: Message received: team,robot,1,XXXX
18:13:55.580: Awarded: 0 pts
18:13:55.661: Message received: team,robot,1,XXXX
18:13:55.661: Awarded: 0 pts
18:13:55.744: Message received: team,robot,1,XXXX
18:13:55.745: Awarded: 0 pts
18:13:55.831: Message received: team,robot,1,XXXX
18:13:55.835: Awarded: 0 pts
18:13:55.918: Message received: team,robot,1,XXXX
18:13:55.918: Awarded: 0 pts
18:13:56.000: Message received: team,robot,1,XXXX
18:13:56.001: Awarded: 0 pts
18:13:56.081: Message received: team,robot,1,XXXX
18:13:56.082: Awarded: 0 pts
18:13:56.164: Message received: team,robot,1,XXXX
18:13:56.164: Awarded: 0 pts
18:13:56.250: Message received: team,robot,1,XXXX
18:13:56.253: Awarded: 0 pts
18:13:56.336: Message received: team,robot,1,XXXX
18:13:56.337: Awarded: 0 pts
18:13:56.434: Message received: team,robot,1,XXXX
18:13:56.435: Awarded: 0 pts
18:13:56.532: Message received: team,robot,1,XXXX
18:13:56.533: Awarded: 0 pts
18:13:56.624: Message received: team,robot,1,XXXX
18:13:56.625: Awarded: 0 pts
18:13:56.707: Message received: team,robot,1,XXXX
18:13:56.707: Awarded: 0 pts
18:13:56.797: Message received: team,robot,1,XXXX
18:13:56.798: Awarded: 0 pts
18:13:56.879: Message received: team,robot,1,XXXX
18:13:56.880: Awarded: 0 pts
18:13:56.962: Message received: team,robot,1,XXXX
18:13:56.963: Awarded: 0 pts
18:13:57.045: Message received: team,robot,1,XXXX
18:13:57.046: Awarded: 0 pts
18:13:57.136: Message received: team,robot,1,XXXX
18:13:57.137: Awarded: 0 pts
18:13:57.218: Message received: team,robot,1,XXXX
18:13:57.218: Awarded: 0 pts
18:13:57.299: Message received: team,robot,1,XXXX
18:13:57.300: Awarded: 0 pts
18:13:57.390: Message received: team,robot,1,XXXX
18:13:57.391: Awarded: 0 pts
18:13:57.476: Message received: team,robot,1,XXXX
18:13:57.477: Awarded: 0 pts
18:13:57.568: Message received: team,robot,1,XXXX
18:13:57.569: Awarded: 0 pts
18:13:57.651: Message received: team,robot,1,XXXX
18:13:57.652: Awarded: 0 pts
18:13:57.734: Message received: team,robot,1,XXXX
18:13:57.739: Awarded: 0 pts
18:13:57.814: Message received: team,robot,1,XXXX
18:13:57.817: Awarded: 0 pts
18:13:57.899: Message received: team,robot,1,XXXX
18:13:57.902: Awarded: 0 pts
18:13:57.985: Message received: team,robot,1,XXXX
18:13:57.986: Awarded: 0 pts
18:13:58.069: Message received: team,robot,1,XXXX
18:13:58.072: Awarded: 0 pts
18:13:58.158: Message received: team,robot,1,XXXX
18:13:58.159: Awarded: 0 pts
18:13:58.243: Message received: team,robot,1,XXXX
18:13:58.244: Awarded: 0 pts
18:13:58.333: Message received: team,robot,1,XXXX
18:13:58.334: Awarded: 0 pts
18:13:58.416: Message received: team,robot,1,XXXX
18:13:58.417: Awarded: 0 pts
18:13:58.497: Message received: team,robot,1,XXXX
18:13:58.498: Awarded: 0 pts
18:13:58.580: Message received: team,robot,1,XXXX
18:13:58.582: Awarded: 0 pts
18:13:58.677: Message received: team,robot,1,XXXX
18:13:58.679: Awarded: 0 pts
18:13:58.770: Message received: team,robot,1,XXXX
18:13:58.771: Awarded: 0 pts
18:13:58.855: Message received: team,robot,1,XXXX
18:13:58.859: Awarded: 0 pts
18:13:58.943: Message received: team,robot,1,XXXX
18:13:58.943: Awarded: 0 pts
18:13:59.024: Message received: team,robot,1,XXXX
18:13:59.024: Awarded: 0 pts
18:13:59.106: Message received: team,robot,1,XXXX
18:13:59.107: Awarded: 0 pts
18:13:59.188: Message received: team,robot,1,XXXX
18:13:59.189: Awarded: 0 pts
18:13:59.278: Message received: team,robot,1,XXXX
18:13:59.280: Awarded: 0 pts
18:13:59.362: Message received: team,robot,1,XXXX
18:13:59.363: Awarded: 0 pts
18:13:59.457: Message received: team,robot,1,XXXX
18:13:59.458: Awarded: 0 pts
18:13:59.546: Message received: team,robot,1,XXXX
18:13:59.550: Awarded: 0 pts
18:13:59.631: Message received: team,robot,1,XXXX
18:13:59.634: Awarded: 0 pts
18:13:59.730: Message received: team,robot,1,XXXX
18:13:59.732: Awarded: 0 pts
18:13:59.824: Message received: team,robot,1,XXXX
18:13:59.825: Awarded: 0 pts
18:13:59.910: Message received: team,robot,1,XXXX
18:13:59.913: Awarded: 0 pts
18:14:00.004: Message received: team,robot,1,XXXX
18:14:00.005: Awarded: 0 pts
18:14:00.088: Message received: team,robot,1,XXXX
18:14:00.092: Awarded: 0 pts
18:14:00.166: Message received: team,robot,1,XXXX
18:14:00.167: Awarded: 0 pts
18:14:00.262: Message received: team,robot,1,XXXX
18:14:00.267: Awarded: 0 pts
18:14:00.354: Message received: team,robot,1,XXXX
18:14:00.355: Awarded: 0 pts
18:14:00.437: Message received: team,robot,1,XXXX
18:14:00.438: Awarded: 0 pts
18:14:00.534: Message received: team,robot,1,XXXX
18:14:00.538: Awarded: 0 pts
18:14:00.628: Message received: team,robot,1,XXXX
18:14:00.629: Awarded: 0 pts
18:14:00.712: Message received: team,robot,1,XXXX
18:14:00.716: Awarded: 0 pts
18:14:00.799: Message received: team,robot,1,XXXX
18:14:00.799: Awarded: 0 pts
18:14:00.882: Message received: team,robot,1,XXXX
18:14:00.883: Awarded: 0 pts
18:14:00.967: Message received: team,robot,1,XXXX
18:14:00.971: Awarded: 0 pts
18:14:01.058: Message received: team,robot,1,XXXX
18:14:01.058: Awarded: 0 pts
18:14:01.138: Message received: team,robot,1,XXXX
18:14:01.139: Awarded: 0 pts
18:14:01.225: Message received: team,robot,1,XXXX
18:14:01.229: Awarded: 0 pts
18:14:01.331: Message received: team,robot,1,XXXX
18:14:01.332: Awarded: 0 pts
18:14:01.429: Message received: team,robot,1,XXXX
18:14:01.429: Awarded: 0 pts
18:14:01.520: Message received: team,robot,1,XXXX
18:14:01.521: Awarded: 0 pts
18:14:01.601: Message received: team,robot,1,XXXX
18:14:01.602: Awarded: 0 pts
18:14:01.696: Message received: team,robot,1,XXXX
18:14:01.697: Awarded: 0 pts
18:14:01.783: Message received: team,robot,1,XXXX
18:14:01.787: Awarded: 0 pts
18:14:01.870: Message received: team,robot,1,XXXX
18:14:01.871: Awarded: 0 pts
18:14:01.953: Message received: team,robot,1,XXXX
18:14:01.954: Awarded: 0 pts
18:14:02.036: Message received: team,robot,1,XXXX
18:14:02.037: Awarded: 0 pts
18:14:02.117: Message received: team,robot,-1,XXXX
18:14:43.619: Full lap completed: +5 points
18:14:43.619: Team total: 5 pts
18:14:44.512: Manual control enabled.
